id;date_ouverture;ouvert
1;2026-04-24T23:29:26;false
2;2026-04-25T02:19:58;false
3;2026-04-24T18:24:49;false
4;2026-04-25T03:02:51;true
5;2026-04-24T14:32:56;false
6;2026-04-24T11:02:40;false
7;2026-04-24T16:10:03;false
8;2026-04-24T21:34:21;false
9;2026-04-25T06:23:49;false
10;2026-04-24T15:56:25;false
11;2026-04-24T18:07:06;false
12;2026-04-25T04:13:22;false
13;2026-04-25T03:44:35;false
14;2026-04-25T04:36:12;false
15;2026-04-25T00:27:53;true
16;2026-04-24T11:10:11;true
17;2026-04-24T16:28:08;true
18;2026-04-24T20:31:29;false
19;2026-04-25T03:21:11;true
20;2026-04-24T18:41:18;true
21;2026-04-24T16:28:03;true
22;2026-04-24T10:18:23;true
23;2026-04-25T09:35:35;false
24;2026-04-25T00:33:04;false
25;2026-04-24T17:16:12;true
26;2026-04-24T15:49:44;false
27;2026-04-25T10:04:14;true
28;2026-04-25T00:42:39;true
29;2026-04-25T00:44:37;true
30;2026-04-24T15:10:25;true
